prioridad;prioridad_detalle;identifier;count;path;message
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";property.notFound;1;src/actividades/application/ListaSrCsvQueDatos.php;"#^Access to an undefined property object\:\:\$tipo_activ\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";property.notFound;1;src/actividades/application/ListaSrCsvQueDatos.php;"#^Access to an undefined property object\:\:\$ubis_compartidos\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;4;src/actividades/infrastructure/persistence/postgresql/PgActividadAllRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;2;src/actividades/infrastructure/persistence/postgresql/PgActividadAllRepository.php;"#^Call to an undefined method object\:\:add\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;2;src/actividades/infrastructure/persistence/postgresql/PgActividadAllRepository.php;"#^Call to an undefined method object\:\:format\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/actividades/infrastructure/persistence/postgresql/PgActividadDlRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/actividades/infrastructure/persistence/postgresql/PgRepeticionRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/actividades/infrastructure/persistence/postgresql/PgTipoDeActividadRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;5;src/actividadescentro/application/ListaActividadesCtrData.php;"#^Call to an undefined method object\:\:have_perm_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;3;src/actividadescentro/infrastructure/persistence/postgresql/PgCentroEncargadoRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;6;src/actividadessacd/application/ListaActividadesSacdData.php;"#^Call to an undefined method object\:\:have_perm_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";class.notFound;1;src/actividadessacd/config/dependencies.php;"#^Class src\\actividadessacd\\domain\\contracts\\EncargoSacdHorarioRepositoryInterface not found\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";class.notFound;1;src/actividadessacd/config/dependencies.php;"#^Class src\\actividadessacd\\infrastructure\\persistence\\postgresql\\PgEncargoSacdHorarioRepository not found\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/actividadestudios/infrastructure/persistence/postgresql/PgActividadAsignaturaRepository.php;"#^Argument of an invalid type array\|bool supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/actividadestudios/infrastructure/persistence/postgresql/PgMatriculaRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividadplazas/application/PeticionesActivData.php;"#^Call to an undefined method object\:\:getId_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividadplazas/application/PeticionesActivData.php;"#^Call to an undefined method object\:\:getNom_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividadplazas/application/PeticionesActivData.php;"#^Call to an undefined method object\:\:getPrefApellidosNombre\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;7;src/actividadplazas/application/services/ResumenPlazasService.php;"#^Argument of an invalid type array\|bool supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/actividadplazas/application/services/ResumenPlazasService.php;"#^Call to an undefined method src\\ubis\\domain\\entity\\Casa\|src\\ubis\\domain\\entity\\Centro\|src\\ubis\\domain\\entity\\CentroDl\|src\\ubis\\domain\\entity\\CentroEllas\|src\\ubis\\domain\\entity\\CentroEllos\|src\\ubis\\domain\\entity\\CentroEx\:\:getPlazasVo\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/actividadplazas/application/services/ResumenPlazasService.php;"#^PHPDoc tag @param references unknown parameter\: \$id_activ$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/actividadplazas/domain/entity/ActividadPlazas.php;"#^PHPDoc tag @param references unknown parameter\: \$oDelegacionTablaCode$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/actividadplazas/domain/entity/ActividadPlazas.php;"#^PHPDoc tag @param references unknown parameter\: \$oPlazaClCode$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/actividadplazas/domain/entity/ActividadPlazas.php;"#^PHPDoc tag @param references unknown parameter\: \$oPlazasNumero$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/actividadtarifas/infrastructure/persistence/postgresql/PgTipoTarifaRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;5;src/asignaturas/infrastructure/persistence/postgresql/PgAsignaturaRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/asignaturas/infrastructure/persistence/postgresql/PgAsignaturaTipoRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/asignaturas/infrastructure/persistence/postgresql/PgDepartamentoRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;2;src/asignaturas/infrastructure/persistence/postgresql/PgSectorRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/asistentes/application/AsistenteMoverData.php;"#^Call to an undefined method object\:\:getDl_org\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/asistentes/application/AsistenteMoverData.php;"#^Call to an undefined method object\:\:getId_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/asistentes/application/AsistenteMoverData.php;"#^Call to an undefined method object\:\:getNom_activ\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;3;src/asistentes/application/ListaAsistentesData.php;"#^Call to an undefined method object\:\:getEap\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/asistentes/application/ListaAsistentesData.php;"#^Call to an undefined method object\:\:getEdad\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;2;src/asistentes/application/ListaAsistentesData.php;"#^Call to an undefined method object\:\:getF_inc\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/asistentes/application/ListaAsistentesData.php;"#^Call to an undefined method object\:\:getF_nacimiento\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;2;src/asistentes/application/ListaAsistentesData.php;"#^Call to an undefined method object\:\:getInc\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;2;src/asistentes/application/ListaAsistentesData.php;"#^Call to an undefined method object\:\:getProfesion\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;2;src/asistentes/application/Select_actividades_de_una_persona.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/asistentes/application/Select_asistentes_a_una_actividad.php;"#^Call to an undefined method src\\ubis\\domain\\entity\\Casa\|src\\ubis\\domain\\entity\\Centro\|src\\ubis\\domain\\entity\\CentroDl\|src\\ubis\\domain\\entity\\CentroEllas\|src\\ubis\\domain\\entity\\CentroEllos\|src\\ubis\\domain\\entity\\CentroEx\:\:getPlazas_min\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;7;src/asistentes/application/services/AsistenteActividadService.php;"#^Call to an undefined method src\\asistentes\\domain\\contracts\\AsistenteRepositoryInterface\:\:getConjunt\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/asistentes/domain/entity/Asistente.php;"#^PHPDoc tag @param references unknown parameter\: \$oAsistenteObservEst$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/asistentes/domain/entity/Asistente.php;"#^PHPDoc tag @param references unknown parameter\: \$oAsistentePropietario$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/cambios/application/AvisosGenerarTabla.php;"#^Argument of an invalid type array\|float\|int\|string\|false\|null supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/cambios/application/CambioUsuarioObjetoPrefPropiedadesData.php;"#^Call to an undefined method object\:\:getDatosCampos\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/cambios/domain/entity/CambioUsuarioObjetoPref.php;"#^PHPDoc tag @param references unknown parameter\: \$avisoTipoId$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;2;src/cambios/infrastructure/persistence/postgresql/PgCambioRepository.php;"#^Argument of an invalid type PDOStatement\|false supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/cartaspresentacion/application/CartasPresentacionListaData.php;"#^Argument of an invalid type mixed supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/cartaspresentacion/domain/entity/CartaPresentacion.php;"#^PHPDoc tag @param references unknown parameter\: \$oPresEmailText$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/cartaspresentacion/domain/entity/CartaPresentacion.php;"#^PHPDoc tag @param references unknown parameter\: \$oPresNombreText$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/cartaspresentacion/domain/entity/CartaPresentacion.php;"#^PHPDoc tag @param references unknown parameter\: \$oPresObservText$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/cartaspresentacion/domain/entity/CartaPresentacion.php;"#^PHPDoc tag @param references unknown parameter\: \$oPresTelefonoText$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";parameter.notFound;1;src/cartaspresentacion/domain/entity/CartaPresentacion.php;"#^PHPDoc tag @param references unknown parameter\: \$oPresZonaText$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;4;src/casas/application/services/CasasResumenOcupacion.php;"#^Call to an undefined method object\:\:duracion\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;4;src/casas/application/services/CasasResumenOcupacion.php;"#^Call to an undefined method object\:\:format\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;4;src/casas/application/services/CasasResumenOcupacion.php;"#^Call to an undefined method object\:\:setTime\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/certificados/domain/CertificadoEmitidoUpload.php;"#^Call to an undefined method src\\certificados\\domain\\entity\\CertificadoEmitido\:\:setIdioma\(\)\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";foreach.nonIterable;1;src/configuracion/domain/ModulosConfig.php;"#^Argument of an invalid type array\|bool supplied for foreach, only iterables are supported\.$#"
A;"Simbolo inexistente o construccion/iteracion invalida: suele ser error grave si se ejecuta.";method.notFound;1;src/dbextern/application/CrearPersonaDesdeListasUseCase.php;"#^Call to an undefined method object\:\:DBGuardar\(\)\.$#"
